,,,stan,er
-975.34,-193.13,0.1452,0.09593547,51.35173658
-975.34,-163.48,0.12153,0.080514393,50.94195587
-975.31,9.2034,-0.018244,-0.011878561,-53.58762098
-975.29,36.136,-0.040165,-0.026435255,-51.93725384
-975.21,82.825,-0.078125,-0.051592672,-51.42654244
-975.04,2.0406,-0.012415,-0.008006999,-55.05185231
-975.04,-57.595,0.036087,0.024201332,49.1116286
-974.99,95.448,-0.088387,-0.058381201,-51.39633686
-974.97,-111.04,0.079388,0.052850393,50.21269578
-974.86,122.6,-0.1104,-0.072897215,-51.44611503
-974.77,-43.555,0.024691,0.016642209,48.36371477
-974.37,-224.95,0.17063,0.112427618,51.76875781
-974.37,224.95,-0.19269,-0.126508573,-52.3137877
-974.29,-131.49,0.095953,0.063781216,50.44084457
-974.13,-70.288,0.046442,0.031079264,49.43082331
-974.07,-199.13,0.15019,0.099232717,51.35129295
-973.95,129.59,-0.11615,-0.076711672,-51.41111687
-973.9,197.77,-0.17106,-0.112578151,-51.94777881
-973.9,-175.6,0.13142,0.087036479,50.99416034
-973.78,175.02,-0.15283,-0.100736698,-51.71233801
-973.41,48.637,-0.050412,-0.033265177,-51.54586466
-973.33,203.78,-0.17597,-0.115790226,-51.97310292
-973.21,-83.225,0.057004,0.038093411,49.64267757
-973.16,230.15,-0.19705,-0.129392797,-52.28822977
-973.15,136.4,-0.12175,-0.080425626,-51.3820978
-973.13,-230.27,0.17507,0.115355035,51.76624126
-973.1,62.261,-0.061528,-0.040647367,-51.37019818
-972.99,29.227,-0.0346,-0.022766172,-51.97987627
-972.78,-205.21,0.15524,0.102574677,51.34339614
-972.66,181.66,-0.15833,-0.104375259,-51.69303707
-972.55,-17.185,0.0032696,0.002416992,35.27558161
-972.54,-30.077,0.013786,0.009410976,46.48853305
-972.44,143.3,-0.12742,-0.084175326,-51.37452557
-972.22,102.47,-0.094323,-0.062384448,-51.19633775
-972.15,-124.42,0.090471,0.060236763,50.19233432
-971.9,209.91,-0.18112,-0.119207146,-51.93719963
-971.89,-97.242,0.068481,0.045719196,49.78609785
-971.89,-169.6,0.1269,0.084170696,50.76505898
-971.82,188.23,-0.16374,-0.107942077,-51.69246791
-971.74,-236.04,0.1799,0.118546645,51.75461122
-971.71,236.17,-0.20212,-0.132741641,-52.2657079
-971.7,-104.73,0.074573,0.049752336,49.888439
-971.68,150.23,-0.13311,-0.087947109,-51.35233227
-971.67,-211.42,0.16037,0.105954651,51.35720606
-971.66,-182.01,0.13689,0.090699288,50.92731529
-971.64,76.014,-0.072822,-0.048169155,-51.17973262
-971.52,157.02,-0.13863,-0.09156593,-51.39910596
-971.43,-138.26,0.10174,0.067678662,50.32803131
-971.26,215.65,-0.18583,-0.122285874,-51.96358606
-971.13,-50.252,0.030288,0.020393477,48.51808038
-971.03,-63.818,0.041354,0.02774749,49.03690499
-970.87,-158.71,0.11829,0.078573524,50.5468936
-970.87,-145.41,0.10757,0.071537039,50.36965595
-970.81,21.958,-0.02871,-0.01887085,-52.13940888
-970.56,164.32,-0.14465,-0.095557284,-51.37516915
-970.51,-152.11,0.11302,0.075130073,50.43243706
-970.47,41.558,-0.044746,-0.029544158,-51.45464872
-970.38,89.431,-0.083851,-0.055509423,-51.05723675
-970.38,110.04,-0.10064,-0.066617623,-51.07113565
-970.35,-217.87,0.16573,0.10949866,51.3534498
-970.3,-241.92,0.18483,0.121803294,51.74466429
-970.3,241.92,-0.20698,-0.135956366,-52.24002069
-970.11,-188.44,0.14228,0.09428559,50.90322926
-970.04,-76.283,0.051571,0.034546905,49.278208
-969.86,-89.952,0.062717,0.041944334,49.52436806
-969.8,14.255,-0.022422,-0.014693378,-52.59935064
-969.3,-37.735,0.020132,0.013651866,47.46702188
-969.18,117.53,-0.10686,-0.070763177,-51.01074389
-969.17,-117.37,0.085065,0.056754643,49.88201074
-969,220.88,-0.19042,-0.125391744,-51.8600774
-968.9,54.827,-0.055665,-0.036832156,-51.13152833
-968.88,-224.45,0.17124,0.113136288,51.3572722
-968.83,68.833,-0.06713,-0.044454499,-51.00833887
-968.8,247.83,-0.21198,-0.139266617,-52.21163846
-968.76,-2.7168,-0.0085295,-0.005440984,-56.76392489
-968.75,-248.04,0.18998,0.125205921,51.73403817
-968.74,-194.78,0.14757,0.097800254,50.88917866
-968.7,-9.9644,-0.0025899,-0.001483273,-74.60713684
-968.69,171,-0.15032,-0.099352015,-51.30040447
-968.34,-23.801,0.0087519,0.006075577,44.05052338
-968.08,193.12,-0.16827,-0.111094059,-51.46624571
-968.02,124.93,-0.113,-0.074860664,-50.94709719
-967.98,-56.533,0.035561,0.023934592,48.57575054
-967.94,5.8048,-0.015515,-0.010101429,-53.59213757
-967.81,82.929,-0.078728,-0.052180057,-50.87756714
