,,,stan,er
-982.52,83.129,-0.08476,-0.051238049,-65.42394219
-982.26,56.58,-0.061469,-0.037121963,-65.58661134
-982.23,70.528,-0.073723,-0.044556469,-65.45969965
-982.19,94.714,-0.094939,-0.057408929,-65.37322912
-982.11,158.59,-0.15069,-0.09100653,-65.58152389
-982.09,11.74,-0.022033,-0.013161915,-67.39965747
-982.08,-2.0326,-0.0099124,-0.005791506,-71.15410372
-982.07,113.83,-0.11168,-0.067531933,-65.37361665
-982,-40.023,0.023505,0.014524621,61.82866265
-981.9,-57.613,0.038959,0.023912603,62.92245479
-981.9,-120.14,0.093675,0.057043382,64.21712173
-981.87,-108.12,0.08319,0.050711683,64.04503948
-981.82,4.7837,-0.015912,-0.009441211,-68.53769568
-981.63,-190.81,0.15491,0.093802798,65.14432767
-981.63,190.81,-0.17866,-0.107756289,-65.80006684
-981.6,-114.08,0.088413,0.053874729,64.10848124
-981.53,-46.296,0.029036,0.017889166,62.31053219
-981.53,-159.16,0.12762,0.077482807,64.70750824
-981.26,-16.435,0.0027716,0.001922703,44.15120998
-981.24,120.52,-0.11762,-0.071145175,-65.32393173
-981.18,-164.89,0.13263,0.080500302,64.7571464
-981.04,-70.601,0.05041,0.030874522,63.27378265
-981,165.54,-0.15689,-0.094772982,-65.54295978
-980.95,-130.49,0.10279,0.06257304,64.27202482
-980.74,31.026,-0.039042,-0.023517756,-66.01073495
-980.71,49.712,-0.055501,-0.033524468,-65.55370979
-980.49,196.59,-0.18385,-0.110911479,-65.76282365
-980.47,-196.69,0.16016,0.096987616,65.13448529
-980.47,127.22,-0.12356,-0.074757757,-65.2805078
-980.41,63.142,-0.067339,-0.040721084,-65.36642338
-980.12,-83.403,0.061705,0.03774292,63.48761744
-980.07,-28.898,0.013774,0.008618813,59.8131963
-979.86,172.57,-0.16316,-0.09858532,-65.5013132
-979.72,133.94,-0.12952,-0.078381642,-65.24277461
-979.57,-175.52,0.14206,0.086218048,64.76828538
-979.36,202.1,-0.1888,-0.113923034,-65.72592272
-979.3,-202.41,0.16528,0.100097492,65.11902212
-978.92,140.65,-0.13549,-0.08200693,-65.21774495
-978.81,76.572,-0.079262,-0.047996149,-65.14241511
-978.78,101.41,-0.10111,-0.061247645,-65.08389943
-978.78,-96.174,0.073017,0.044628398,63.61106996
-978.75,-64.071,0.044808,0.027505908,62.9031823
-978.68,-169.93,0.13736,0.08343965,64.62197473
-978.63,-125.19,0.098431,0.060010263,64.02361086
-978.54,179.24,-0.16916,-0.102243832,-65.44763347
-978.52,43.123,-0.049784,-0.03008246,-65.49178715
-978.51,-136.86,0.10863,0.066171783,64.16362734
-978.5,24.204,-0.03308,-0.01991345,-66.11887573
-978.37,-51.345,0.03362,0.020706242,62.36649686
-978.15,-207.91,0.17021,0.103095349,65.09959109
-978.15,207.91,-0.19404,-0.117109798,-65.69066171
-978.07,147.45,-0.14153,-0.085684145,-65.17641528
-978.03,89.036,-0.090295,-0.054711805,-65.03750801
-977.77,-181.37,0.1474,0.089494349,64.70313581
-977.75,-76.946,0.056203,0.034445782,63.16366225
-977.54,185.9,-0.17509,-0.105847111,-65.41783525
-977.47,-103.11,0.079222,0.048419449,63.61607209
-977.47,154.22,-0.14753,-0.089317004,-65.17571561
